Id,Code,Name,Version
222,tt0408777,Die fetten Jahre sind vorbei,1
223,tt0320691,Underworld,1
224,tt0111161,The Shawshank Redemption,1
225,tt0086879,Amadeus,1
226,tt0103064,Terminator 2: Judgment Day,1
227,tt0114558,Strange Days,1
228,tt0053604,The Apartment,1
229,tt0449088,Pirates of the Caribbean: At World's End,1
230,tt0853060,Deutschland. Ein Sommermärchen,1
231,tt0094812,Bull Durham,1
232,tt0044706,High Noon,1
233,tt0034583,Casablanca,1
234,tt0101410,Barton Fink,1
235,tt0389326,Riding Giants,1
236,tt0425598,Dave Chappelle's Block Party,1
237,tt0105265,A River Runs Through It,1
238,tt0089015,Desert Hearts,1
239,tt0181852,Terminator 3: Rise of the Machines,1
240,tt0119643,Meet Joe Black,1
241,tt0496806,Ocean's Thirteen,1
242,tt0054135,Ocean's Eleven,1
243,tt0354899,La science des rêves,1
244,tt0053221,Rio Bravo,1
245,tt0324133,Swimming Pool,1
246,tt0038787,Notorious,1
247,tt0109254,Beverly Hills Cop III,1
248,tt0038890,Roma città aperta,1
249,tt0412019,Broken Flowers,1
250,tt0154420,Festen,1
251,tt0315327,Bruce Almighty,1
252,tt0087843,Once Upon a Time in America,1
253,tt0116692,Jenseits der Stille,1
254,tt0448124,Snow Cake,1
255,tt0327554,Catwoman,1
256,tt0059170,"Faster, Pussycat! Kill! Kill!",1
257,tt0304126,Halbe Treppe,1
258,tt0464029,Grbavica,1
259,tt0120753,The Million Dollar Hotel,1
260,tt0108399,True Romance,1
261,tt0278504,Insomnia,1
262,tt0330602,Mambo Italiano,1
263,tt0327056,Mystic River,1
264,tt0417148,Snakes on a Plane,1
265,tt0222851,Brother,1
266,tt0107290,Jurassic Park,1
267,tt0119567,The Lost World: Jurassic Park,1
268,tt0163025,Jurassic Park III,1
269,tt0141369,Inspector Gadget,1
270,tt0303785,Bollywood/Hollywood,1
271,tt0175880,Magnolia,1
272,tt0064116,C'era una volta il West,1
273,tt0067140,Giù la testa,1
274,tt0329388,Monsieur Ibrahim et les fleurs du Coran,1
275,tt0301357,"Good bye, Lenin!",1
276,tt0102536,Night on Earth,1
277,tt0404030,Everything is Illuminated,1
278,tt0420206,Sommersturm,1
279,tt0067185,Harold and Maude,1
280,tt0135790,Bang Boom Bang - Ein todsicheres Ding,1
281,tt0120663,Eyes Wide Shut,1
282,tt0047478,七人の侍,1
283,tt0020163,Menschen am Sonntag,1
284,tt0078748,Alien,1
285,tt0428430,Crustacés et coquillages,1
286,tt0458352,The Devil Wears Prada,1
287,tt0347048,Gegen die Wand,1
288,tt0103776,Batman Returns,1
289,tt0087800,A Nightmare on Elm Street,1
290,tt0093822,Raising Arizona,1
291,tt0100150,Miller's Crossing,1
292,tt0095953,Rain Man,1
293,tt0048728,To Catch a Thief,1
294,tt0089537,Mala Noche,1
295,tt0082096,Das Boot,1
296,tt0454848,Inside Man,1
297,tt0050083,12 Angry Men,1
